agents_No,instance,k,shrink,ignore-target,lltp-only,corridor,target,parking,algo,ignore-train,Runtime,HL_expanded,HL_generated,LL_expanded,LL_generated,agents,solution_cost,cost-dummy,algorithm,standard_conflict,standard_conflict_m2,standard_train_conflict,rectangle_sym,corridor_sym,parking_std,target_std,parking_sym,target_sym,train_self_conflict,None,num_llpp,num_lltp,num_cardinal,num_semicardinal,num_noncardinal,num_unkown,valid_train,num_body_conflict,num_target_conflict,num_self_conflict,runtime_mdd
30,23,2,True,False,False,True,True,False,CBSH-RM-DK,True,90.0036,16758,32010,15846873,22438712,/home/ubuntu/mike/CBS-exp/agent/room-32-32-4-even/room-32-32-4-even-24.scen,-1,54,CBSH-RM,7089,0,0,2269,5660,0,0,0,1740,0,,33551,0,16364,394,0,0,0,48,0,0,0
15,21,4,True,False,False,False,False,False,CBS-DK,False,90.0015,39004,75670,9689468,19065102,/home/ubuntu/mike/CBS-exp/agent/room-32-32-4-even/room-32-32-4-even-22.scen,-1,16,CBS,36766,0,0,0,0,0,2018,0,0,2238,,54456,21329,0,0,0,39004,0,21,0,0,0
30,10,4,True,False,False,True,True,False,CBSH-RM-DK,True,90.0046,19384,38077,7802428,14479531,/home/ubuntu/mike/CBS-exp/agent/room-32-32-4-even/room-32-32-4-even-11.scen,-1,50,CBSH-RM,9115,0,0,1730,6852,0,0,0,1687,0,,38801,0,13008,6376,0,0,0,130,0,0,0
5,22,8,True,False,False,True,True,False,CBSH-RM-DK,False,0.011075,3,7,596,1927,/home/ubuntu/mike/CBS-exp/agent/room-32-32-4-even/room-32-32-4-even-23.scen,163,1,CBSH-RM,2,0,0,0,1,0,0,0,0,0,,11,0,0,1,2,0,1,0,0,0,0
30,22,2,True,False,False,True,True,False,CBSH-RM-DK,False,90.0048,13341,26499,17271513,24328574,/home/ubuntu/mike/CBS-exp/agent/room-32-32-4-even/room-32-32-4-even-23.scen,-1,66,CBSH-RM,8001,0,0,85,2180,0,0,0,3075,0,,26909,0,10662,2679,0,0,0,34,0,6,0
5,18,4,True,False,False,False,False,False,CBS-DK,False,0.00391,3,6,543,1646,/home/ubuntu/mike/CBS-exp/agent/room-32-32-4-even/room-32-32-4-even-19.scen,194,3,CBS,2,0,0,0,0,0,0,0,0,1,,9,1,0,0,0,3,1,0,0,0,0
5,3,4,True,False,False,True,True,False,CBSH-RM-DK,True,0.000776,0,1,135,433,/home/ubuntu/mike/CBS-exp/agent/room-32-32-4-even/room-32-32-4-even-4.scen,130,0,CBSH-RM,0,0,0,0,0,0,0,0,0,0,,5,0,0,0,0,0,1,0,0,0,0
20,8,8,True,False,True,False,False,False,CBS-DK,False,90.0007,14418,27393,3475490,8608537,/home/ubuntu/mike/CBS-exp/agent/room-32-32-4-even/room-32-32-4-even-9.scen,-1,14,CBS,14418,0,14418,0,0,0,0,0,0,0,,0,28856,0,0,0,14418,0,164,0,0,0
15,15,2,True,False,False,True,True,False,CBSH-RM-DK,False,0.025484,12,24,2753,7875,/home/ubuntu/mike/CBS-exp/agent/room-32-32-4-even/room-32-32-4-even-16.scen,451,8,CBSH-RM,10,0,0,1,0,0,0,0,1,0,,39,0,10,2,0,0,1,0,0,0,0
25,5,4,True,False,False,False,False,False,CBS-DK,False,90.0017,21937,43231,2800372,7431344,/home/ubuntu/mike/CBS-exp/agent/room-32-32-4-even/room-32-32-4-even-6.scen,-1,19,CBS,21316,0,0,0,0,0,0,0,0,621,,41963,1315,0,0,0,21937,0,96,0,0,0
25,12,2,True,False,False,False,False,False,CBS-DK,False,90.0016,34943,69181,4285875,11975025,/home/ubuntu/mike/CBS-exp/agent/room-32-32-4-even/room-32-32-4-even-13.scen,-1,18,CBS,34343,0,0,0,0,0,578,0,0,600,,67280,2031,0,0,0,34943,0,49,0,0,0
10,16,4,True,False,False,True,True,False,CBSH-RM-DK,False,0.007122,4,9,910,2410,/home/ubuntu/mike/CBS-exp/agent/room-32-32-4-even/room-32-32-4-even-17.scen,233,7,CBSH-RM,2,0,0,0,1,0,0,0,1,0,,18,0,2,1,1,0,1,0,0,0,0
25,24,8,True,False,False,True,True,False,CBSH-RM-DK,True,90.0451,3645,6992,9947099,12700346,/home/ubuntu/mike/CBS-exp/agent/room-32-32-4-even/room-32-32-4-even-25.scen,-1,46,CBSH-RM,1766,0,0,374,826,0,0,0,679,0,,7357,0,2071,1574,0,0,0,162,0,8,0
10,23,2,True,False,False,True,True,False,CBSH-RM-DK,True,0.026768,7,15,2009,5175,/home/ubuntu/mike/CBS-exp/agent/room-32-32-4-even/room-32-32-4-even-24.scen,339,6,CBSH-RM,3,0,0,1,3,0,0,0,0,0,,24,0,4,3,0,0,1,0,0,0,0
10,10,4,True,False,False,True,True,False,CBSH-RM-DK,True,0.019419,9,19,3364,6358,/home/ubuntu/mike/CBS-exp/agent/room-32-32-4-even/room-32-32-4-even-11.scen,211,9,CBSH-RM,3,0,0,3,2,0,0,0,1,0,,28,0,6,3,0,0,1,0,0,0,0
15,3,4,True,False,False,True,True,False,CBSH-RM-DK,False,0.311813,27,55,26418,46747,/home/ubuntu/mike/CBS-exp/agent/room-32-32-4-even/room-32-32-4-even-4.scen,408,15,CBSH-RM,17,0,0,1,4,0,0,0,5,0,,71,0,20,6,1,0,1,0,0,0,0
30,7,4,True,False,True,False,False,False,CBS-DK,False,90.0001,24229,47990,3833369,8008789,/home/ubuntu/mike/CBS-exp/agent/room-32-32-4-even/room-32-32-4-even-8.scen,-1,12,CBS,24229,0,24229,0,0,0,56,0,0,0,,0,48488,0,0,0,24229,0,95,0,0,0
5,19,8,True,False,True,False,False,False,CBS-DK,False,22.5332,4269,8165,2055601,3954475,/home/ubuntu/mike/CBS-exp/agent/room-32-32-4-even/room-32-32-4-even-20.scen,141,18,CBS,4269,0,4269,0,0,0,0,0,0,0,,0,8543,0,0,0,4269,1,0,0,0,0
30,24,4,True,False,False,False,False,False,CBS-DK,False,90.004,28210,55169,3957328,10979537,/home/ubuntu/mike/CBS-exp/agent/room-32-32-4-even/room-32-32-4-even-25.scen,-1,17,CBS,26992,0,0,0,0,0,104,0,0,1218,,48392,6840,0,0,0,28210,0,96,0,0,0
10,4,2,True,False,False,False,False,False,CBS-DK,False,0.076659,37,72,5544,14378,/home/ubuntu/mike/CBS-exp/agent/room-32-32-4-even/room-32-32-4-even-5.scen,316,6,CBS,34,0,0,0,0,0,0,0,0,3,,74,7,0,0,0,37,1,0,0,0,0
25,14,4,True,False,True,False,False,False,CBS-DK,False,90.0036,16015,30827,5229679,10298907,/home/ubuntu/mike/CBS-exp/agent/room-32-32-4-even/room-32-32-4-even-15.scen,-1,15,CBS,16015,0,16015,0,0,0,0,0,0,0,,0,32055,0,0,0,16015,0,72,0,0,0
